,Movie,Director,Running time,Actor 1,Genre,Budget,Box Office,Earnings,Oscar and Golden Globes awards,Release year,IMDb score
739,The Ant Bully,John A. Davis,88,Nicolas Cage,Animation,50000000,40000000,-10000000,0.0,2006,5.9
740,The Art of War,Christian Duguay,116,Michael Biehn,Action,40000000,40000000,0,0.0,2000,5.7
741,The Beach,Danny Boyle,119,Leonardo DiCaprio,Adventure,50000000,144000000,94000000,0.0,2000,6.6
742,The Benchwarmers,Dennis Dugan,75,Jon Lovitz,Comedy,33000000,57000000,24000000,0.0,2006,5.6
743,The BFG,Steven Spielberg,117,Mark Rylance,Adventure,140000000,195000000,55000000,0.0,2016,6.8
744,The Big Bounce,George Armitage,88,Morgan Freeman,Comedy,50000000,6800000,-43200000,0.0,2004,4.9
745,The Big Wedding,Justin Zackham,89,Robin Williams,Comedy,35000000,26000000,-9000000,0.0,2013,5.6
746,The Big Year,David Frankel,100,Joel McHale,Comedy,41000000,7000000,-34000000,0.0,2011,6.2
747,The Black Dahlia,Brian De Palma,121,Scarlett Johansson,Crime,50000000,48000000,-2000000,0.0,2006,5.6
748,The Book of Eli,Albert Hughes,118,Denzel Washington,Action,80000000,157000000,77000000,0.0,2010,6.9
749,The Book of Life,Jorge R. Gutiérrez,95,Channing Tatum,Animation,50000000,99700000,49700000,0.0,2014,7.3
750,The Boondock Saints II: All Saints Day,Troy Duffy,138,Norman Reedus,Action,8000000,10000000,2000000,0.0,2009,6.3
751,The Boss,Ben Falcone,99,Peter Dinklage,Comedy,29000000,105000000,76000000,0.0,2016,5.3
752,The Bounty Hunter,Andy Tennant,110,Gerard Butler,Action,40000000,136000000,96000000,0.0,2010,5.5
753,The Bourne Identity,Doug Liman,119,Matt Damon,Action,60000000,214000000,154000000,0.0,2002,7.9
754,The Bourne Legacy,Tony Gilroy,135,Jeremy Renner,Action,125000000,276000000,151000000,0.0,2012,6.7
755,The Bourne Supremacy,Paul Greengrass,108,Matt Damon,Action,75000000,291000000,216000000,0.0,2004,7.8
756,The Boxtrolls,Graham Annable,96,Isaac Hempstead Wright,Animation,60000000,107000000,47000000,0.0,2014,6.8
757,The Boy,William Brent Bell,97,Lauren Cohan,Horror,10000000,64000000,54000000,0.0,2016,6.0
758,The Break-Up,Peyton Reed,106,Jon Favreau,Comedy,52000000,204000000,152000000,0.0,2006,5.8
759,The Brothers Grimm,Terry Gilliam,118,Matt Damon,Action,88000000,105000000,17000000,0.0,2005,5.9
760,The Brown Bunny,Vincent Gallo,93,Vincent Gallo,Drama,10000000,3000000,-7000000,0.0,2003,5.0
761,The Bucket List,Rob Reiner,97,Morgan Freeman,Adventure,45000000,175000000,130000000,0.0,2007,7.4
762,The Cabin in the Woods,Drew Goddard,95,Chris Hemsworth,Horror,30000000,70000000,40000000,0.0,2012,7.0
763,The Call,Brad Anderson,94,Michael Imperioli,Crime,13000000,68000000,55000000,0.0,2013,6.7
764,The Campaign,Jay Roach,85,Will Ferrell,Comedy,95000000,104000000,9000000,0.0,2012,6.2
765,The Cat in the Hat,Bo Welch,82,Sean Hayes,Adventure,109000000,133000000,24000000,0.0,2003,3.8
766,The Cell,Tarsem Singh,109,Dylan Baker,Horror,33000000,104000000,71000000,0.0,2000,6.3
767,The Change-Up,David Dobkin,118,Ryan Reynolds,Comedy,52000000,75500000,23500000,0.0,2011,6.4
768,The Children of Huang Shi,Roger Spottiswoode,125,Radha Mitchell,Drama,40000000,12000000,-28000000,0.0,2008,7.1
769,The Christmas Bunny,Tom Seidman,98,Florence Henderson,Drama,250000,1000000,750000,0.0,2010,6.2
770,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,150,Peter Dinklage,Action,225000000,419000000,194000000,0.0,2008,6.6
771,The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,113,Bruce Spence,Adventure,155000000,416000000,261000000,0.0,2010,6.3
772,The Chronicles of Riddick,David Twohy,134,Vin Diesel,Action,105000000,116000000,11000000,0.0,2004,6.7
773,The Color of Freedom,Bille August,118,Terry Pheto,Biography,30000000,30000000,0,0.0,2007,7.1
774,The Conjuring 2,James Wan,134,Javier Botet,Horror,40000000,320000000,280000000,0.0,2016,7.8
775,The Core,Jon Amiel,135,Glenn Morshower,Action,60000000,75000000,15000000,0.0,2003,5.4
776,The Count of Monte Cristo,Kevin Reynolds,131,Henry Cavill,Action,35000000,75000000,40000000,0.0,2002,7.7
777,The Country Bears,Peter Hastings,88,Haley Joel Osment,Comedy,35000000,16000000,-19000000,0.0,2002,4.0
778,The Curse of the Jade Scorpion,Woody Allen,103,Woody Allen,Comedy,26000000,5500000,-20500000,0.0,2001,6.8
779,The Dark Knight Rises,Christopher Nolan,164,Tom Hardy,Action,250000000,1081000000,831000000,0.0,2012,8.5
780,The Darkest Hour,Chris Gorak,89,Max Minghella,Action,30000000,31000000,1000000,0.0,2011,4.9
781,The Day After Tomorrow,Roland Emmerich,124,Jake Gyllenhaal,Action,125000000,544000000,419000000,0.0,2004,6.4
782,The Day the Earth Stood Still,Scott Derrickson,104,Keanu Reeves,Sci-Fi,80000000,233000000,153000000,0.0,2008,5.5
783,The Devil Inside,William Brent Bell,83,Fernanda Andrade,Horror,1000000,53000000,52000000,0.0,2012,4.2
784,The Dictator,Larry Charles,99,Sayed Badreya,Comedy,65000000,20000000,-45000000,0.0,2012,6.4
785,The Dilemma,Ron Howard,111,Channing Tatum,Comedy,70000000,69000000,-1000000,0.0,2011,5.3
786,The Dukes of Hazzard,Jay Chandrasekhar,107,Alice Greczyn,Action,50000000,111000000,61000000,0.0,2005,5.1
787,The Equalizer,Antoine Fuqua,132,Denzel Washington,Action,55000000,192000000,137000000,0.0,2014,7.2
788,The Expendables 2,Simon West,103,Jason Statham,Action,92000000,315000000,223000000,0.0,2012,6.7
789,The Expendables 3,Patrick Hughes,131,Jason Statham,Action,90000000,215000000,125000000,0.0,2014,6.1
790,The Expendables,Sylvester Stallone,113,Jason Statham,Action,80000000,274000000,194000000,0.0,2010,6.5
791,The Family Man,Brett Ratner,125,Nicolas Cage,Comedy,60000000,180000000,120000000,0.0,2000,6.7
792,The Fast and the Furious,Rob Cohen,106,Paul Walker,Action,38000000,207000000,169000000,0.0,2001,6.7
793,The Fast and the Furious,Rob Cohen,106,Paul Walker,Action,38000000,207000000,169000000,0.0,2001,6.7
794,The Fast and the Furious: Tokyo Drift,Justin Lin,104,Amber Stevens West,Action,85000000,159000000,74000000,0.0,2006,6.0
795,The Final Destination,David R. Ellis,82,Krista Allen,Horror,40000000,187000000,147000000,0.0,2009,5.2
796,The Five-Year Engagement,Nicholas Stoller,131,Alison Brie,Comedy,30000000,54000000,24000000,0.0,2012,6.2
797,The Flintstones in Viva Rock Vegas,Brian Levant,90,Taylor Negron,Comedy,60000000,69000000,9000000,0.0,2000,3.6
798,The Flowers of War,Yimou Zhang,146,Christian Bale,Drama,94000000,94000000,0,0.0,2011,7.6
799,The Forbidden Kingdom,Rob Minkoff,104,Jet Li,Action,55000000,128000000,73000000,0.0,2008,6.6
800,The Fountain,Darren Aronofsky,96,Hugh Jackman,Sci-Fi,35000000,35000000,0,0.0,2006,7.3
801,The Four Feathers,Shekhar Kapur,125,Djimon Hounsou,Adventure,35000000,29000000,-6000000,0.0,2002,6.5
802,The Game Plan,Andy Fickman,110,Dwayne Johnson,Comedy,22000000,148000000,126000000,0.0,2007,6.2
803,The Good German,Steven Soderbergh,105,Tony Curran,Drama,32000000,11000000,-21000000,0.0,2006,6.1
804,The Great Raid,John Dahl,132,James Franco,Action,80000000,27000000,-53000000,0.0,2005,6.7
805,The Green Hornet,Michel Gondry,119,Christoph Waltz,Action,120000000,228000000,108000000,0.0,2011,5.8
806,The Guilt Trip,Anne Fletcher,95,Miriam Margolyes,Comedy,40000000,56000000,16000000,0.0,2012,5.8
807,The Gunman,Pierre Morel,115,Ray Winstone,Action,40000000,24000000,-16000000,0.0,2015,5.8
808,The Happening,M. Night Shyamalan,91,Zooey Deschanel,Sci-Fi,48000000,163000000,115000000,0.0,2008,5.0
809,The Haunted Mansion,Rob Minkoff,88,Marsha Thomason,Comedy,90000000,182000000,92000000,0.0,2003,4.9
810,The Heat,Paul Feig,123,Michael Rapaport,Action,43000000,229000000,186000000,0.0,2013,6.6
811,The Hills Have Eyes,Alexandre Aja,108,Dan Byrd,Horror,15000000,79000000,64000000,0.0,2006,6.4
812,The Hit List,William Kaufman,90,Drew Waters,Action,4000000,4000000,0,0.0,2011,5.4
813,The Hitchhiker's Guide to the Galaxy,Garth Jennings,109,Zooey Deschanel,Adventure,50000000,104000000,54000000,0.0,2005,6.8
814,The Holiday,Nancy Meyers,138,Kate Winslet,Comedy,85000000,205000000,120000000,0.0,2006,6.9
815,The Homesman,Tommy Lee Jones,122,Barry Corbin,Drama,16000000,10000000,-6000000,0.0,2014,6.6
816,The Host,Andrew Niccol,125,J.D. Evermore,Action,40000000,41100000,1100000,0.0,2013,5.9
817,The Hunger Games: Catching Fire,Francis Lawrence,146,Jennifer Lawrence,Adventure,130000000,865000000,735000000,0.0,2013,7.6
818,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,123,Jennifer Lawrence,Adventure,125000000,755000000,630000000,0.0,2014,6.7
819,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,137,Jennifer Lawrence,Adventure,160000000,650000000,490000000,0.0,2015,6.6
820,The Hunted,William Friedkin,94,Connie Nielsen,Action,55000000,45800000,-9200000,0.0,2003,6.0
821,The Hunting Party,Richard Shepard,101,James Brolin,Adventure,25000000,7200000,-17800000,0.0,2007,6.9
822,The Huntsman: Winter's War,Cedric Nicolas-Troyan,120,Chris Hemsworth,Action,115000000,165000000,50000000,0.0,2016,6.1
823,The Iceman,Ariel Vromen,106,Chris Evans,Biography,10000000,3000000,-7000000,0.0,2012,6.9
824,The Imaginarium of Doctor Parnassus,Terry Gilliam,123,Andrew Garfield,Adventure,30000000,64000000,34000000,0.0,2009,6.8
825,The Incredible Burt Wonderstone,Don Scardino,100,Steve Buscemi,Comedy,30000000,29000000,-1000000,0.0,2013,5.9
826,The Incredible Hulk,Louis Leterrier,135,Ty Burrell,Action,150000000,264000000,114000000,0.0,2008,6.8
827,The Infiltrator,Brad Furman,127,Joseph Gilgun,Biography,25000000,21600000,-3400000,0.0,2016,7.3
828,The Intern,Nancy Meyers,121,Robert De Niro,Comedy,35000000,195000000,160000000,0.0,2015,7.2
829,The International,Tom Tykwer,118,Naomi Watts,Action,50000000,60600000,10600000,0.0,2009,6.5
830,The Internship,Shawn Levy,125,Josh Gad,Comedy,58000000,88000000,30000000,0.0,2013,6.3
831,The Interpreter,Sydney Pollack,128,Curtiss Cook,Crime,80000000,162000000,82000000,0.0,2005,6.4
832,The Interview,Evan Goldberg,112,James Franco,Comedy,44000000,118000000,74000000,0.0,2014,6.6
833,The Invasion,Oliver Hirschbiegel,99,Roger Rees,Sci-Fi,80000000,158000000,78000000,0.0,2007,5.9
834,The Island,Michael Bay,136,Scarlett Johansson,Action,126000000,162000000,36000000,0.0,2005,6.9
835,The Italian Job,F. Gary Gray,111,Jason Statham,Action,60000000,176000000,116000000,0.0,2003,7.0
836,The Judge,David Dobkin,141,Robert Downey Jr.,Crime,50000000,84700000,34700000,0.0,2014,7.4
837,The Kid,Jon Turteltaub,104,Bruce Willis,Comedy,60000000,77000000,17000000,0.0,2000,6.1
838,The King of Najayo,Fernando Baez Mella,101,Manny Perez,Crime,500000,3000000,2500000,0.0,2012,6.9
839,The Kingdom,Peter Berg,110,Jennifer Garner,Action,70000000,86900000,16900000,0.0,2007,7.1
840,The Knife of Don Juan,Tom Sanchez,110,Nataniel Sánchez,Comedy,1200000,1000000,-200000,0.0,2013,7.2
841,The Ladykillers,Ethan Coen,104,J.K. Simmons,Comedy,35000000,76000000,41000000,0.0,2004,6.2
842,The Lake House,Alejandro Agresti,99,Keanu Reeves,Drama,40000000,115000000,75000000,0.0,2006,6.8
843,The Last Airbender,M. Night Shyamalan,103,Seychelle Gabriel,Action,150000000,319000000,169000000,0.0,2010,4.2
844,The Last Castle,Rod Lurie,131,Clifton Collins Jr.,Action,60000000,16000000,-44000000,0.0,2001,6.9
845,The Last Legion,Doug Lefler,102,Colin Firth,Action,35000000,20000000,-15000000,0.0,2007,5.4
846,The Last Stand,Jee-woon Kim,107,Zach Gilford,Action,45000000,49100000,4100000,0.0,2013,6.4
847,The Last Witch Hunter,Breck Eisner,106,Vin Diesel,Action,90000000,147000000,57000000,0.0,2015,6.0
848,The League of Extraordinary Gentlemen,Stephen Norrington,110,Jason Flemyng,Action,78000000,179000000,101000000,0.0,2003,5.8
849,The Legend of Bagger Vance,Robert Redford,126,Matt Damon,Drama,60000000,39000000,-21000000,0.0,2000,6.7
850,The Legend of Hercules,Renny Harlin,99,Roxanne McKee,Action,70000000,62000000,-8000000,0.0,2014,4.2
851,The Legend of Tarzan,David Yates,110,Christoph Waltz,Action,180000000,216000000,36000000,0.0,2016,6.6
852,The Legend of Tarzan,David Yates,110,Christoph Waltz,Action,180000000,356000000,176000000,0.0,2016,6.6
853,The Legend of Zorro,Martin Campbell,129,Michael Emerson,Action,75000000,250000000,175000000,0.0,2005,5.9
854,The Life Aquatic with Steve Zissou,Wes Anderson,119,Bill Murray,Adventure,50000000,34800000,-15200000,0.0,2004,7.3
855,The Life Before Her Eyes,Vadim Perelman,90,Eva Amurri Martino,Drama,13000000,7000000,-6000000,0.0,2007,6.4
856,The Life of David Gale,Alan Parker,130,Kevin Spacey,Crime,50000000,38900000,-11100000,0.0,2003,7.5
857,The Lincoln Lawyer,Brad Furman,118,Matthew McConaughey,Crime,40000000,87000000,47000000,0.0,2011,7.3
858,The Little Vampire,Uli Edel,95,Richard E. Grant,Adventure,22000000,2000000,-20000000,0.0,2000,5.7
859,The Lone Ranger,Gore Verbinski,150,Johnny Depp,Action,215000000,260000000,45000000,0.0,2013,6.5
860,The Longest Ride,George Tillman Jr.,128,Tiago Riani,Drama,34000000,62000000,28000000,0.0,2015,7.1
861,The Longest Yard,Peter Segal,113,Adam Sandler,Comedy,82000000,190000000,108000000,0.0,2005,6.4
862,The Love Guru,Marco Schnabel,87,Justin Timberlake,Comedy,62000000,40000000,-22000000,0.0,2008,3.8
863,The Machinist,Brad Anderson,94,Christian Bale,Thriller,5000000,7800000,2800000,0.0,2004,7.7
864,The Majestic,Frank Darabont,152,Martin Landau,Drama,72000000,37300000,-34700000,0.0,2001,6.9
865,The Man from U.N.C.L.E.,Guy Ritchie,116,Henry Cavill,Action,75000000,109000000,34000000,0.0,2015,7.3
866,The Man,Les Mayfield,83,Miguel Ferrer,Action,33000000,16000000,-17000000,0.0,2005,5.5
867,The Manchurian Candidate,Jonathan Demme,129,Denzel Washington,Drama,80000000,96000000,16000000,0.0,2004,6.6
868,The Marine 4: Moving Target,William Kaufman,90,Paul McGillion,Action,1950000,2000000,50000,0.0,2015,5.2
869,The Matrix Reloaded,Lana Wachowski,138,Steve Bastoni,Sci-Fi,150000000,742000000,592000000,0.0,2003,7.2
870,The Matrix Revolutions,Lana Wachowski,129,Essie Davis,Sci-Fi,150000000,427000000,277000000,0.0,2003,6.7
871,The Maze Runner,Wes Ball,113,Ki Hong Lee,Action,34000000,348000000,314000000,0.0,2014,6.8
872,The Mechanic,Simon West,93,Jason Statham,Action,40000000,76000000,36000000,0.0,2011,6.6
873,The Medallion,Gordon Chan,108,Julian Sands,Action,41000000,46000000,5000000,0.0,2003,5.2
874,The Mist,Frank Darabont,126,Toby Jones,Horror,18000000,57000000,39000000,0.0,2007,7.2
875,The Monuments Men,George Clooney,118,Bill Murray,Drama,70000000,155000000,85000000,0.0,2014,6.1
876,The Mortal Instruments: City of Bones,Harald Zwart,130,Aidan Turner,Horror,60000000,31000000,-29000000,0.0,2013,6.0
877,The Mothman Prophecies,Mark Pellington,119,Debra Messing,Thriller,32000000,55000000,23000000,0.0,2002,6.5
878,The Mummy: Tomb of the Dragon Emperor,Rob Cohen,112,Jet Li,Action,145000000,401000000,256000000,0.0,2008,5.2
879,The Musketeer,Peter Hyams,104,Catherine Deneuve,Action,40000000,34000000,-6000000,0.0,2001,4.7
880,The Nativity Story,Catherine Hardwicke,101,Keisha Castle-Hughes,Drama,30000000,47100000,17100000,0.0,2006,6.8
881,The Number 23,Joel Schumacher,98,Logan Lerman,Thriller,32000000,77000000,45000000,0.0,2007,6.4
882,The Nut Job,Peter Lepeniotis,85,Liam Neeson,Animation,42000000,120000000,78000000,0.0,2014,5.8
883,The Nutcracker in 3D,Andrey Konchalovskiy,110,Shirley Henderson,Action,90000000,20000000,-70000000,0.0,2010,4.4
884,The Odd Life of Timothy Green,Peter Hedges,105,Jennifer Garner,Comedy,25000000,56400000,31400000,0.0,2012,6.6
885,The One,James Wong,85,Jason Statham,Sci-Fi,49000000,72800000,23800000,0.0,2001,5.9
886,The Order,Brian Helgeland,102,Heath Ledger,Action,38000000,19500000,-18500000,0.0,2003,5.1
887,The Other Boleyn Girl,Justin Chadwick,115,Natalie Portman,Biography,35000000,77500000,42500000,0.0,2008,6.7
888,The Other Guys,Adam McKay,116,Dwayne Johnson,Action,100000000,170000000,70000000,0.0,2010,6.7
889,The Outrageous Sophie Tucker,William Gazecki,96,Carol Channing,Documentary,500000,1000000,500000,0.0,2014,7.2
890,The Pacifier,Adam Shankman,95,Vin Diesel,Action,56000000,198000000,142000000,0.0,2005,5.5
891,The Perfect Game,William Dear,118,Clifton Collins Jr.,Comedy,12500000,4000000,-8500000,0.0,2009,7.0
892,The Perfect Match,Bille Woodruff,96,Donald Faison,Comedy,5000000,10000000,5000000,0.0,2016,4.5
893,The Pledge,Sean Penn,124,Costas Mandylor,Crime,45000000,29000000,-16000000,0.0,2001,6.8
894,The Princess Diaries 2: Royal Engagement,Garry Marshall,113,Anne Hathaway,Comedy,40000000,134000000,94000000,0.0,2004,5.7
895,The Producers,Susan Stroman,134,Jon Lovitz,Comedy,45000000,19000000,-26000000,0.0,2005,6.4
896,The Proposal,Anne Fletcher,108,Ryan Reynolds,Comedy,40000000,317000000,277000000,0.0,2009,6.7
897,The Protector,Prachya Pinkaew,111,Jon Foo,Action,200000000,39300000,-160700000,0.0,2005,7.1
898,The Punisher,Jonathan Hensleigh,140,Laura Harring,Action,33000000,54000000,21000000,0.0,2004,6.5
899,The Reaping,Stephen Hopkins,99,Stephen Rea,Horror,40000000,62000000,22000000,0.0,2007,5.7
900,The Replacements,Howard Deutch,118,Keanu Reeves,Comedy,50000000,50900000,900000,0.0,2000,6.5
901,The Rite,Mikael Håfström,114,Anthony Hopkins,Thriller,37000000,95000000,58000000,0.0,2011,6.0
902,The Road to El Dorado,Bibo Bergeron,89,Frank Welker,Animation,95000000,76000000,-19000000,0.0,2000,6.9
903,The Rundown,Peter Berg,104,Dwayne Johnson,Action,85000000,86000000,1000000,0.0,2003,6.7
904,The Santa Clause 2,Michael Lembeck,104,Judge Reinhold,Comedy,60000000,172000000,112000000,0.0,2002,5.5
905,The Scorch Trials,Wes Ball,132,Ki Hong Lee,Sci-Fi,61000000,312000000,251000000,0.0,2015,6.4
906,The Score,Frank Oz,124,Robert De Niro,Crime,68000000,113000000,45000000,0.0,2001,6.8
907,The Scorpion King,Chuck Russell,100,Dwayne Johnson,Action,60000000,165000000,105000000,0.0,2002,5.5
908,The Secret Life of Pets,Yarrow Cheney,87,Steve Coogan,Animation,75000000,875000000,800000000,0.0,2016,6.8
909,The Secret Life of Walter Mitty,Ben Stiller,114,Adam Scott,Adventure,90000000,188000000,98000000,0.0,2013,7.3
910,The Sentinel,Clark Johnson,107,Blair Brown,Action,60000000,94000000,34000000,0.0,2006,6.1
911,The Shaggy Dog,Brian Robbins,98,Robert Downey Jr.,Comedy,50000000,119000000,69000000,0.0,2006,4.4
912,The Signal,William Eubank,97,Lin Shaye,Sci-Fi,4000000,2500000,-1500000,0.0,2014,6.1
913,The Simpsons Movie,David Silverman,87,Albert Brooks,Animation,75000000,536000000,461000000,0.0,2007,7.4
914,The Skeleton Key,Iain Softley,104,Gena Rowlands,Horror,43000000,68300000,25300000,0.0,2005,6.5
915,The Smurfs 2,Raja Gosnell,105,Jacob Tremblay,Animation,105000000,347000000,242000000,0.0,2013,5.4
916,The Smurfs,Raja Gosnell,103,Mahadeo Shivraj,Animation,110000000,563000000,453000000,0.0,2011,5.5
917,The Soloist,Joe Wright,117,Robert Downey Jr.,Biography,60000000,26000000,-34000000,0.0,2009,6.7
918,The Sorcerer's Apprentice,Jon Turteltaub,109,Nicolas Cage,Action,150000000,215000000,65000000,0.0,2010,6.1
919,The Spiderwick Chronicles,Mark Waters,107,Martin Short,Adventure,90000000,164000000,74000000,0.0,2008,6.6
920,The Spirit,Frank Miller,103,Scarlett Johansson,Action,60000000,39000000,-21000000,0.0,2008,4.8
921,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,92,Tim Conway,Animation,74000000,325000000,251000000,0.0,2015,6.0
922,The SpongeBob SquarePants Movie,Stephen Hillenburg,87,Scarlett Johansson,Animation,30000000,140000000,110000000,0.0,2004,7.0
923,The Stepford Wives,Frank Oz,93,Jon Lovitz,Comedy,90000000,102000000,12000000,0.0,2004,5.2
924,The Sum of All Fears,Phil Alden Robinson,124,Morgan Freeman,Action,68000000,195000000,127000000,0.0,2002,6.4
925,The Sweetest Thing,Roger Kumble,90,Judith Chapman,Comedy,43000000,68000000,25000000,0.0,2002,5.1
926,The Taking of Pelham 1 2 3,Tony Scott,106,Denzel Washington,Action,100000000,150000000,50000000,0.0,2009,6.4
927,The Tale of Despereaux,Sam Fell,93,Emma Watson,Animation,60000000,50000000,-10000000,0.0,2008,6.1
928,The Terminal,Steven Spielberg,128,Tom Hanks,Comedy,60000000,219000000,159000000,0.0,2004,7.3
929,The Three Musketeers,Paul W.S. Anderson,110,Milla Jovovich,Action,75000000,132000000,57000000,0.0,2011,5.8
930,The Timber,Anthony O'Brien,81,James Ransone,Adventure,2100000,1000000,-1100000,0.0,2015,5.5
931,The Time Machine,Simon Wells,96,Mark Addy,Action,80000000,123000000,43000000,0.0,2002,5.9
932,The Time Traveler's Wife,Robert Schwentke,107,Arliss Howard,Drama,39000000,100000000,61000000,0.0,2009,7.1
933,The Tooth Fairy,Chuck Bowman,89,P.J. Soles,Horror,1500000,6000000,4500000,0.0,2006,4.6
934,The Tuxedo,Kevin Donovan,98,Romany Malco,Action,60000000,77000000,17000000,0.0,2002,5.3
935,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,115,Robert Pattinson,Adventure,120000000,829000000,709000000,0.0,2012,5.5
936,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,115,Robert Pattinson,Adventure,120000000,830000000,710000000,0.0,2012,5.5
937,The Twilight Saga: Eclipse,David Slade,124,Robert Pattinson,Adventure,68000000,698000000,630000000,0.0,2010,4.9
938,The Twilight Saga: New Moon,Chris Weitz,130,Robert Pattinson,Adventure,50000000,709000000,659000000,0.0,2009,4.6
939,The Ugly Truth,Robert Luketic,96,Gerard Butler,Comedy,38000000,205000000,167000000,0.0,2009,6.5
940,The Village,M. Night Shyamalan,108,Bryce Dallas Howard,Drama,60000000,257000000,197000000,0.0,2004,6.5
941,The Vow,Michael Sucsy,104,Channing Tatum,Drama,30000000,125000000,95000000,0.0,2012,6.8
942,The Walk,Robert Zemeckis,123,Joseph Gordon-Levitt,Biography,35000000,32000000,-3000000,0.0,2015,7.4
943,The Warlords,Peter Ho-Sun Chan,113,Jet Li,Action,40000000,42000000,2000000,0.0,2007,7.1
944,The Warrior's Way,Sngmoo Lee,100,Tony Cox,Action,45000000,22500000,-22500000,0.0,2010,6.3
945,The Watch,Akiva Schaffer,102,Will Forte,Action,68000000,68300000,300000,0.0,2012,5.7
946,The Watcher,Joe Charbanic,97,Keanu Reeves,Crime,33000000,47000000,14000000,0.0,2000,5.3
947,The Whole Ten Yards,Howard Deutch,98,Bruce Willis,Comedy,40000000,76500000,36500000,0.0,2004,5.5
948,The Wolverine,James Mangold,138,Hugh Jackman,Action,120000000,415000000,295000000,0.0,2013,6.7
949,The X Files: I Want to Believe,Chris Carter,108,Mitch Pileggi,Drama,30000000,68300000,38300000,0.0,2008,5.9
950,The Yellow Handkerchief,Udayan Prasad,102,Kristen Stewart,Drama,15500000,1000000,-14500000,0.0,2008,6.8
951,The Young and Prodigious T.S. Spivet,Jean-Pierre Jeunet,105,Callum Rennie,Action,33000000,9000000,-24000000,0.0,2013,7.1
952,There Be Dragons,Roland Joffé,102,Jordi MollÃ ,Biography,36000000,6000000,-30000000,0.0,2011,5.9
953,Thirteen Days,Roger Donaldson,145,Bruce Greenwood,Drama,80000000,66000000,-14000000,0.0,2000,7.3
954,This Is It,Kenny Ortega,111,Misha Gabriel Hamilton,Documentary,60000000,252000000,192000000,0.0,2009,7.3
955,This Means War,McG,103,Tom Hardy,Action,65000000,52000000,-13000000,0.0,2012,6.3
956,Thor,Kenneth Branagh,115,Chris Hemsworth,Action,150000000,449000000,299000000,0.0,2011,7.0
957,Thor: The Dark World,Alan Taylor,112,Chris Hemsworth,Action,170000000,644000000,474000000,0.0,2013,7.1
958,Three Burials,Tommy Lee Jones,107,Levon Helm,Crime,15000000,18000000,3000000,0.0,2005,7.5
959,Thunder and the House of Magic,Jeremy Degruson,85,Kyle Hebert,Animation,34000000,64000000,30000000,0.0,2013,6.3
960,Thunderbirds,Jonathan Frakes,95,Sophia Myles,Action,57000000,28200000,-28800000,0.0,2004,4.2
961,Timeline,Richard Donner,116,Paul Walker,Action,80000000,44000000,-36000000,0.0,2003,5.6
962,Titan A.E.,Don Bluth,94,Matt Damon,Action,75000000,37000000,-38000000,0.0,2000,6.6
963,TMNT,Kevin Munroe,87,Chris Evans,Action,34000000,95000000,61000000,0.0,2007,6.3
964,To Rome with Love,Woody Allen,112,Ornella Muti,Comedy,17000000,30000000,13000000,0.0,2012,6.3
965,Tomorrowland,Brad Bird,130,Judy Greer,Action,190000000,1500000,-188500000,0.0,2015,6.5
966,Top Cat Begins,Andrés Couturier,89,Sariann Monaco,Animation,8000000,3000000,-5000000,0.0,2015,4.4
967,Torque,Joseph Kahn,84,Dane Cook,Action,40000000,46500000,6500000,0.0,2004,4.0
968,Tower Heist,Brett Ratner,104,Matthew Broderick,Action,75000000,152000000,77000000,0.0,2011,6.2
969,Town & Country,Peter Chelsom,104,Del Zamora,Comedy,90000000,10300000,-79700000,0.0,2001,4.4
970,Transcendence,Wally Pfister,119,Johnny Depp,Drama,100000000,103000000,3000000,0.0,2014,6.3
971,Transformers: Age of Extinction,Michael Bay,165,Bingbing Li,Action,210000000,1100000000,890000000,0.0,2014,5.7
972,Transformers: Dark of the Moon,Michael Bay,154,Glenn Morshower,Action,195000000,1080000000,885000000,0.0,2011,6.3
973,Transporter 2,Louis Leterrier,87,Jason Statham,Action,32000000,85000000,53000000,0.0,2005,6.3
974,Transsiberian,Brad Anderson,111,Thomas Kretschmann,Crime,15000000,6300000,-8700000,0.0,2008,6.7
975,Treading Water,Analeine Cal y Mayor,92,Zoë Kravitz,Comedy,4700000,1000000,-3700000,0.0,2013,6.2
976,TRON: Legacy,Joseph Kosinski,125,Jeff Bridges,Action,170000000,433000000,263000000,0.0,2010,6.8
977,Troy,Wolfgang Petersen,196,Brad Pitt,Adventure,175000000,497000000,322000000,0.0,2004,7.2
978,Trust the Man,Bart Freundlich,103,Billy Crudup,Comedy,9000000,7400000,-1600000,0.0,2005,5.7
979,Turbo,David Soren,96,Ryan Reynolds,Animation,135000000,283000000,148000000,0.0,2013,6.5
980,Twixt,Francis Ford Coppola,88,Alden Ehrenreich,Comedy,7000000,5000000,-2000000,0.0,2011,4.8
981,Two Brothers,Jean-Jacques Annaud,109,David Gant,Adventure,59660000,62000000,2340000,0.0,2004,7.1
