,Movie,Director,Running time,Actor 1,Genre,Budget,Box Office,Earnings,Oscar and Golden Globes awards,Release year,IMDb score
55,Alvin and the Chipmunks: The Road Chip,Walt Becker,92,Bella Thorne,Animation,90000000,234000000,144000000,0.0,2015,5.0
56,Alvin and the Chipmunks: The Squeakquel,Betty Thomas,88,Amy Poehler,Animation,75000000,443000000,368000000,0.0,2009,4.5
57,American Outlaws,Les Mayfield,94,Gregory Smith,Action,35000000,14000000,-21000000,0.0,2001,6.0
58,American Pie 2,J.B. Rogers,108,Alyson Hannigan,Comedy,30000000,287000000,257000000,0.0,2001,6.4
59,American Reunion,Jon Hurwitz,113,Alyson Hannigan,Comedy,50000000,245000000,195000000,0.0,2012,6.7
60,America's Sweethearts,Joe Roth,102,Julia Roberts,Comedy,48000000,93100000,45100000,0.0,2001,5.7
61,An Everlasting Piece,Barry Levinson,103,Anna Friel,Comedy,14000000,75000,-13925000,0.0,2000,6.3
62,Analyze That,Harold Ramis,96,Robert De Niro,Comedy,60000000,30000000,-30000000,0.0,2002,5.9
63,Anchorman 2: The Legend Continues,Adam McKay,143,Harrison Ford,Comedy,50000000,173000000,123000000,0.0,2013,6.3
64,Angel Eyes,Luis Mandoki,102,Sonia Braga,Drama,38000000,73000000,35000000,0.0,2001,5.6
65,Annie,Will Gluck,118,Quvenzhané Wallis,Comedy,65000000,103000000,38000000,0.0,2014,5.2
66,Anything Else,Woody Allen,108,Woody Allen,Comedy,18000000,5000000,-13000000,0.0,2003,6.4
67,Are We There Yet?,Brian Levant,95,Nia Long,Adventure,32000000,34000000,2000000,0.0,2005,4.6
68,Arthur and the Invisibles,Luc Besson,94,Mia Farrow,Animation,86000000,107000000,21000000,0.0,2006,6.0
69,Arthur Christmas,Sarah Smith,97,Jim Broadbent,Animation,100000000,148000000,48000000,0.0,2011,7.1
70,Ask Me Anything,Allison Burnett,100,Kimberly Williams-Paisley,Drama,950000,50000,-900000,0.0,2014,6.0
71,Asterix at the Olympic Games,Frédéric Forestier,116,Alain Delon,Adventure,78000000,132000000,54000000,0.0,2008,5.1
72,Astro Boy,David Bowers,94,Nicolas Cage,Animation,65000000,40000000,-25000000,0.0,2009,6.3
73,Atlantis: The Lost Empire,Gary Trousdale,95,Leonard Nimoy,Action,120000000,186000000,66000000,0.0,2001,6.8
74,Austin Powers in Goldmember,Jay Roach,94,Verne Troyer,Action,63000000,73000000,10000000,0.0,2002,6.2
